Mercury,Venus,Mars
10.18,14.65,15.98
10.34,14.62,16.04
10.51,14.58,16.10
10.67,14.55,16.18
10.83,14.52,16.25
10.99,14.48,16.30
11.14,14.45,16.37
11.28,14.41,16.45
11.41,14.37,16.50
11.55,14.34,16.56
11.67,14.30,16.62
11.80,14.27,16.69
11.90,14.22,16.75
12.01,14.19,16.82
12.12,14.15,16.89
12.22,14.11,16.95
12.30,14.07,17.02
12.38,14.02,17.07
12.46,13.99,17.13
12.52,13.95,17.19
12.58,13.90,17.26
12.63,13.86,17.32
12.68,13.82,17.38
12.72,13.78,17.45
12.75,13.74,17.51
12.77,13.69,17.57
12.79,13.65,17.63
12.80,13.60,17.69
12.80,13.56,17.74
12.79,13.52,17.81
12.77,13.46,17.86
12.76,13.42,17.92
12.73,13.38,17.98
12.69,13.34,18.04
12.64,13.28,18.10
12.60,13.24,18.16
12.54,13.19,18.22
12.47,13.14,18.27
12.40,13.10,18.33
12.32,13.05,18.39
12.23,12.99,18.44
12.14,12.95,18.49
